100,0.000171,0.000129,0.000140,.00014666666666666666
200,0.000527,0.000523,0.000524,.00052466666666666666
300,0.001231,0.001170,0.001187,.00119600000000000000
400,0.002074,0.002945,0.002094,.00237100000000000000
500,0.003305,0.003217,0.003255,.00325900000000000000
600,0.004630,0.004682,0.004546,.00461933333333333333
700,0.006372,0.006338,0.006472,.00639400000000000000
800,0.008306,0.008280,0.008332,.00830600000000000000
900,0.010528,0.010543,0.010387,.01048600000000000000
1000,0.012976,0.013405,0.012892,.01309100000000000000
2000,0.050684,0.051509,0.060079,.05409066666666666666
4000,0.204033,0.204325,0.205480,.20461266666666666666
8000,0.816104,0.816706,0.819281,.81736366666666666666
16000,3.260482,3.283093,3.261340,3.26830500000000000000
20000,5.121768,5.071861,5.102647,5.09875866666666666666
