100,0.000196,0.000110,0.000130,.00014533333333333333
200,0.000436,0.000333,0.000316,.00036166666666666666
300,0.000915,0.000639,0.000915,.00082300000000000000
400,0.001238,0.001089,0.001099,.00114200000000000000
500,0.001679,0.002488,0.001691,.00195266666666666666
600,0.002843,0.002556,0.002355,.00258466666666666666
700,0.003245,0.003308,0.003659,.00340400000000000000
800,0.004207,0.004173,0.004600,.00432666666666666666
900,0.005825,0.005299,0.005456,.00552666666666666666
1000,0.006729,0.006869,0.006843,.00681366666666666666
2000,0.026166,0.026131,0.026161,.02615266666666666666
4000,0.104597,0.105673,0.105890,.10538666666666666666
8000,0.415544,0.421754,0.421497,.41959833333333333333
16000,1.659989,1.642734,1.654155,1.65229266666666666666
20000,2.571920,2.566469,2.597251,2.57854666666666666666
