100,0.000185,0.000163,0.000232,.00019333333333333333
200,0.000392,0.000360,0.000373,.00037500000000000000
300,0.000666,0.000662,0.000665,.00066433333333333333
400,0.001105,0.001097,0.001103,.00110166666666666666
500,0.001741,0.001642,0.001784,.00172233333333333333
600,0.002382,0.002353,0.002338,.00235766666666666666
700,0.003318,0.003175,0.003420,.00330433333333333333
800,0.004134,0.004133,0.004210,.00415900000000000000
900,0.005706,0.005683,0.005206,.00553166666666666666
1000,0.006358,0.006350,0.006563,.00642366666666666666
2000,0.025240,0.025078,0.025318,.02521200000000000000
4000,0.101497,0.101047,0.100113,.10088566666666666666
8000,0.391944,0.391454,0.392392,.39193000000000000000
16000,1.571063,1.586926,1.566171,1.57472000000000000000
20000,2.438231,2.427694,2.457188,2.44103766666666666666
