100,0.000285,0.000208,0.000219,.00023733333333333333
200,0.000533,0.000263,0.000278,.00035800000000000000
300,0.000353,0.000388,0.000343,.00036133333333333333
400,0.000539,0.000493,0.000548,.00052666666666666666
500,0.000733,0.000727,0.000873,.00077766666666666666
600,0.001198,0.000980,0.000992,.00105666666666666666
700,0.001426,0.001307,0.001454,.00139566666666666666
800,0.001856,0.001777,0.001688,.00177366666666666666
900,0.002271,0.002133,0.002104,.00216933333333333333
1000,0.002557,0.002661,0.002534,.00258400000000000000
2000,0.009819,0.009581,0.009732,.00971066666666666666
4000,0.038371,0.039626,0.040590,.03952900000000000000
8000,0.155746,0.155700,0.155728,.15572466666666666666
16000,0.604259,0.584777,0.598844,.59596000000000000000
20000,0.903048,0.903978,0.925216,.91074733333333333333
