100,0.000347,0.000171,0.000164,.00022733333333333333
200,0.000236,0.000252,0.000245,.00024433333333333333
300,0.000420,0.000445,0.000522,.00046233333333333333
400,0.000578,0.000613,0.000514,.00056833333333333333
500,0.000749,0.000747,0.000747,.00074766666666666666
600,0.001066,0.001295,0.001298,.00121966666666666666
700,0.001452,0.001716,0.001456,.00154133333333333333
800,0.001892,0.002154,0.001866,.00197066666666666666
900,0.002333,0.002618,0.002483,.00247800000000000000
1000,0.003013,0.002951,0.002732,.00289866666666666666
2000,0.010956,0.011221,0.010627,.01093466666666666666
4000,0.042113,0.046065,0.045576,.04458466666666666666
8000,0.171463,0.173267,0.172035,.17225500000000000000
16000,0.684528,0.686168,0.689000,.68656533333333333333
20000,1.078824,1.064931,1.082001,1.07525200000000000000
