100,0.000236,0.000222,0.000221,.00022633333333333333
200,0.000481,0.000531,0.000469,.00049366666666666666
300,0.000858,0.000870,0.000879,.00086900000000000000
400,0.001444,0.001495,0.001503,.00148066666666666666
500,0.002229,0.002174,0.002347,.00225000000000000000
600,0.003143,0.003232,0.003117,.00316400000000000000
700,0.004693,0.004266,0.004181,.00438000000000000000
800,0.005705,0.006125,0.005553,.00579433333333333333
900,0.006994,0.006790,0.006821,.00686833333333333333
1000,0.008589,0.009536,0.009140,.00908833333333333333
2000,0.033412,0.032774,0.032761,.03298233333333333333
4000,0.130236,0.130005,0.130218,.13015300000000000000
8000,0.524897,0.521951,0.672644,.57316400000000000000
16000,2.229897,2.578549,2.599944,2.46946333333333333333
20000,4.026161,4.031472,4.043568,4.03373366666666666666
