100,0.000197,0.000162,0.000151,.00017000000000000000
200,0.000270,0.000276,0.000265,.00027033333333333333
300,0.000353,0.000384,0.000388,.00037500000000000000
400,0.000653,0.000565,0.000579,.00059900000000000000
500,0.000810,0.000807,0.000786,.00080100000000000000
600,0.001122,0.001065,0.001145,.00111066666666666666
700,0.001578,0.001413,0.001392,.00146100000000000000
800,0.001796,0.001787,0.001960,.00184766666666666666
900,0.002273,0.002456,0.002208,.00231233333333333333
1000,0.003535,0.002740,0.002998,.00309100000000000000
2000,0.011043,0.010862,0.011798,.01123433333333333333
4000,0.040882,0.040190,0.040321,.04046433333333333333
8000,0.162305,0.160507,0.161787,.16153300000000000000
16000,0.643392,0.653440,0.640365,.64573233333333333333
20000,1.017049,1.013022,1.018815,1.01629533333333333333
