100,0.000363,0.000236,0.000238,.00027900000000000000
200,0.000315,0.000309,0.000253,.00029233333333333333
300,0.000359,0.000398,0.000361,.00037266666666666666
400,0.000551,0.000606,0.000559,.00057200000000000000
500,0.000809,0.000783,0.000802,.00079800000000000000
600,0.001002,0.001019,0.001048,.00102300000000000000
700,0.001321,0.001299,0.001362,.00132733333333333333
800,0.001679,0.001676,0.001748,.00170100000000000000
900,0.002032,0.002087,0.002045,.00205466666666666666
1000,0.002530,0.002468,0.002540,.00251266666666666666
2000,0.009462,0.009510,0.014839,.01127033333333333333
4000,0.037444,0.037372,0.037345,.03738700000000000000
8000,0.149295,0.149367,0.149368,.14934333333333333333
16000,0.593961,0.592118,0.596274,.59411766666666666666
20000,0.873337,0.927172,0.891282,.89726366666666666666
