100,0.000217,0.000232,0.000237,.00022866666666666666
200,0.000567,0.000618,0.000578,.00058766666666666666
300,0.001180,0.001307,0.001166,.00121766666666666666
400,0.002111,0.002128,0.002101,.00211333333333333333
500,0.003441,0.003506,0.003720,.00355566666666666666
600,0.005231,0.005004,0.004979,.00507133333333333333
700,0.006791,0.006657,0.006676,.00670800000000000000
800,0.008992,0.008693,0.008704,.00879633333333333333
900,0.010975,0.010939,0.010208,.01070733333333333333
1000,0.012569,0.012562,0.012605,.01257866666666666666
2000,0.050011,0.050056,0.049909,.04999200000000000000
4000,0.208306,0.201808,0.200808,.20364066666666666666
8000,0.796805,0.785124,0.815035,.79898800000000000000
16000,3.198578,3.198997,3.240737,3.21277066666666666666
20000,5.166237,4.977426,4.916554,5.02007233333333333333
