100,0.000600,0.000428,0.000423,.00048366666666666666
200,0.001696,0.001672,0.001740,.00170266666666666666
300,0.003963,0.003795,0.004348,.00403533333333333333
400,0.006715,0.006672,0.006696,.00669433333333333333
500,0.011401,0.011468,0.010454,.01110766666666666666
600,0.016876,0.015345,0.015205,.01580866666666666666
700,0.021905,0.020542,0.020334,.02092700000000000000
800,0.028506,0.026752,0.026549,.02726900000000000000
900,0.034316,0.020336,0.018243,.02429833333333333333
1000,0.025673,0.022558,0.020404,.02287833333333333333
2000,0.071251,0.069538,0.069251,.07001333333333333333
4000,0.277532,0.298154,0.289600,.28842866666666666666
8000,1.187039,1.109716,1.109540,1.13543166666666666666
16000,4.442566,4.483968,4.449303,4.45861233333333333333
20000,7.018790,6.939956,6.940830,6.96652533333333333333
